state_fips,state_abbr,state_name,year,ng911_plan_adopted,ng911_rfp_released,pct_pop_served,pct_geo_served,n_esinet_psaps,n_operational_esinets,routing_location,gis_data,core_services,network,psap_call_handling,security,operations,optional_interfaces,event_year
01,AL,Alabama,2013,No,Yes,100.0,100.0,,,,,,,,,,,2013
01,AL,Alabama,2014,,,,,100,1,,,,,,,,,2013
01,AL,Alabama,2015,,,,,100,1,,,,,,,,,2013
01,AL,Alabama,2016,,,,,118,1,,,,,,,,,2013
01,AL,Alabama,2018,,,,,,,3,2,4,3,3,2,2,3,2013
01,AL,Alabama,2019,,,,,,,3,2,4,3,3,2,2,3,2013
01,AL,Alabama,2020,,,,,,,3,2,4,4,3,2,3,3,2013
02,AK,Alaska,2013,No,No,0.0,0.0,,,,,,,,,,,
02,AK,Alaska,2014,,,20.0,8.0,,,,,,,,,,,
02,AK,Alaska,2015,,,,,,,,,,,,,,,
02,AK,Alaska,2016,,,,,,,,,,,,,,,
02,AK,Alaska,2018,,,,,,,1,1,1,1,1,1,1,1,
02,AK,Alaska,2019,,,,,,,1,1,1,1,1,1,1,1,
02,AK,Alaska,2020,,,,,,,2,2,1,1,1,1,1,1,2020
04,AZ,Arizona,2013,No,No,0.0,0.0,,,,,,,,,,,
04,AZ,Arizona,2014,,,,,,,,,,,,,,,
04,AZ,Arizona,2015,,,,,,,,,,,,,,,
04,AZ,Arizona,2016,,,10.0,10.0,6,2,,,,,,,,,2016
04,AZ,Arizona,2018,,,,,,,3,3,3,3,2,3,2,3,2016
04,AZ,Arizona,2019,,,,,,,3,3,3,3,2,3,2,3,2016
04,AZ,Arizona,2020,,,,,,,3,4,3,3,4,,3,3,2016
05,AR,Arkansas,2013,Unknown,Unknown,,,,,,,,,,,,,
05,AR,Arkansas,2014,,,,,,,,,,,,,,,
05,AR,Arkansas,2015,,,,,,,,,,,,,,,
05,AR,Arkansas,2016,,,,,,,,,,,,,,,
05,AR,Arkansas,2018,,,,,,,1,1,1,1,1,1,1,1,
05,AR,Arkansas,2019,,,,,,,1,1,1,1,1,1,1,1,
05,AR,Arkansas,2020,,,,,,,1,2,1,2,2,1,2,2,
06,CA,California,2013,No,No,2.16,21.49,,,,,,,,,,,
06,CA,California,2014,,,2.16,21.49,7,1,,,,,,,,,2014
06,CA,California,2015,,,3.0,21.0,8,1,,,,,,,,,2014
06,CA,California,2016,,,2.66,21.49,37,1,,,,,,,,,2014
06,CA,California,2018,,,,,,,2,3,2,2,2,2,1,2,2014
06,CA,California,2019,,,,,,,2,3,2,2,2,2,1,2,2014
06,CA,California,2020,,,,,,,1,2,2,2,2,2,3,3,2014
